일자,가시,김녕,동복,신창,행원,전체
2021-05-26,30545.28,1634.94,95040,6062.76,28032.42,161315.4
2021-05-27,32421.6,3686.4,101577.6,627.66,43740.6,182053.86
2021-05-28,78272.64,6506.28,197712,12377.16,64295.22,359163.3
2021-05-29,45541.44,2210.22,47865.6,2329.02,16214.82,114161.1
2021-05-30,6302.88,748.26,28512,5250.78,10425.9,51239.82
2021-05-31,1893.6,1393.38,37497.6,1509.48,11317.92,53611.98
2021-06-01,2577.6,2934.18,76780.8,2523.06,32717.46,117533.1
2021-06-02,62405.28,2998.08,182073.6,11428.38,44521.62,303426.96
2021-06-03,48985.92,6731.64,205516.8,11763.9,81013.32,354011.58
2021-06-04,56551.68,3747.96,80006.4,3799.26,45273.3,189378.6
2021-06-05,9177.12,476.1,8726.4,4471.56,4139.4,26990.58
2021-06-06,34162.56,417.24,4982.4,7132.68,8929.38,55624.26
2021-06-07,5232.96,302.58,1238.4,2554.38,2178.12,11506.44
2021-06-08,11204.64,1549.62,54086.4,4247.1,31771.8,102859.56
2021-06-09,316.8,1803.6,136857.6,2869.74,28178.04,170025.78
2021-06-10,120077.28,4047.48,244512,15354.36,59228.1,443219.22
2021-06-11,51225.12,1624.86,75369.6,2437.74,12781.98,143439.3
2021-06-12,16336.8,312.66,6105.6,1322.82,3589.86,27667.74
2021-06-13,5394.24,936.9,2937.6,133.2,7379.22,16781.16
2021-06-14,594.72,1409.04,29088,524.88,15871.56,47488.2
2021-06-15,23621.76,3486.78,149731.2,5056.02,66726,248621.76
2021-06-16,110728.8,7992.36,339753.6,12822.84,110529.72,581827.32
2021-06-17,30771.36,4317.66,122716.8,286.92,67076.46,225169.2
2021-06-18,3728.16,35.28,2966.4,159.48,227.4,7116.72
2021-06-19,32451.84,1267.02,30153.6,583.74,24600.48,89056.68
2021-06-20,26857.44,618.12,16963.2,88.38,9080.04,53607.18
2021-06-21,7598.88,599.76,8035.2,304.92,10198.38,26737.14
2021-06-22,1599.84,2078.1,45388.8,415.26,19570.44,69052.44
2021-06-23,37.44,703.08,14572.8,1234.08,4464.3,21011.7
2021-06-24,2636.64,999.18,37843.2,1637.82,12738.06,55854.9
2021-06-25,452.16,1308.24,36403.2,1943.46,12791.46,52898.52
2021-06-26,2013.12,913.68,45820.8,2434.14,11062.92,62244.66
2021-06-27,6318.72,973.8,46080,1158.66,16341.42,70872.6
2021-06-28,18565.92,1775.88,73929.6,3170.7,29496.48,126938.58
2021-06-29,1628.64,794.34,23500.8,557.82,5938.98,32420.58
2021-06-30,609.12,1087.02,38995.2,18.9,8222.16,48932.4
