method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
IT-STGCN,0.5,rand,4,2,linear,50,0.9616157412528992,351.367479801178,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,1.0703580379486084,334.0137369632721,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9691666960716248,330.23340034484863,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9887529611587524,201.51105284690857,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9828329086303712,129.2410683631897,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9735907912254332,114.22958302497864,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9871484041213988,258.4868474006653,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9687523245811462,339.6759650707245,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9759296774864196,374.68018078804016,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9845290780067444,332.945148229599,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9857621788978576,392.5060133934021,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9754478931427002,212.79349756240845,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9705005288124084,113.30690908432008,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9671168327331544,185.49974465370175,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.038862943649292,244.5974969863892,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9790078997612,294.2166349887848,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9565263986587524,418.76064562797546,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.964646816253662,298.45767164230347,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9898934364318848,439.4933490753174,LRGCN,
STGCN,0.3,rand,4,2,linear,50,1.0107580423355105,182.2117383480072,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9647206664085388,105.69102430343628,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0088855028152466,221.73564434051517,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9808868169784546,233.2315526008606,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9559087753295898,269.25575733184814,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9638447165489196,455.777729511261,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9685452580451964,279.802705526352,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,1.0076035261154177,463.512815952301,LRGCN,
