method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
STGCN,0.8,rand,4,12,linear,50,1.903497695922852,7.9835615158081055,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2065964937210083,6.213463068008423,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.4828824996948242,6.58434271812439,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.669338941574097,7.24159574508667,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.3680816888809204,6.551223516464233,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.643768548965454,7.697023391723633,GComvGRU
STGCN,0.0,,4,12,,50,1.2007192373275757,6.667846918106079,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.6977180242538452,6.560006141662598,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.708510160446167,6.086739540100098,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.5419584512710571,6.6052844524383545,GComvGRU
STGCN,0.8,rand,4,12,linear,50,2.162100553512573,5.549693822860718,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.3282123804092407,5.905217885971069,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.159670352935791,5.8462395668029785,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.2701607942581177,5.87127423286438,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4348809719085691,5.880269289016724,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.9212239980697632,5.83400297164917,GComvGRU
STGCN,0.0,,4,12,,50,1.3073104619979858,5.235414981842041,GComvGRU
STGCN,0.3,rand,4,12,linear,50,2.0436408519744877,5.230670690536499,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6508604288101196,5.235108852386475,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.040125846862793,5.21897554397583,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.5444072484970093,5.214482545852661,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.3424617052078247,5.819495677947998,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5293939113616943,5.796483993530273,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.679950714111328,5.789151906967163,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.850021481513977,11.500282526016235,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.4926217794418335,14.022107124328612,GComvGRU
STGCN,0.0,,4,12,,50,1.217432141304016,11.526790618896484,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.499551773071289,11.013005018234251,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.4975703954696655,10.47632098197937,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.839617729187012,10.5463445186615,GComvGRU
STGCN,0.8,rand,4,12,linear,50,2.0458874702453613,10.123654127120972,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.3157732486724854,11.683869123458862,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.1530191898345947,11.464882373809814,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.7257672548294067,11.684876918792725,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.9801894426345823,11.501230239868164,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.4110195636749268,11.980563163757324,GComvGRU
STGCN,0.0,,4,12,,50,1.0721321105957031,10.8023579120636,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.3084231615066528,10.272220373153688,GComvGRU
STGCN,0.5,rand,4,12,linear,50,2.1071760654449463,10.27368974685669,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.075165033340454,10.256530523300173,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.6018322706222534,10.255236387252808,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.3149781227111816,12.231059789657593,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.315673589706421,11.71485686302185,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.282550573348999,11.649416446685793,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.3262838125228882,11.563049077987673,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.352854609489441,11.551865577697754,GComvGRU
STGCN,0.0,,4,12,,50,1.28226900100708,10.428702116012571,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.5633925199508667,10.218589305877686,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.4632357358932495,10.04096508026123,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.6509453058242798,9.840078115463257,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.5853348970413208,10.203492164611816,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1394168138504028,11.380037307739258,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5988211631774902,11.61679744720459,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.7434298992156982,11.806572198867798,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4386518001556396,11.643264055252075,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.36849045753479,11.632587909698486,GComvGRU
STGCN,0.0,,4,12,,50,1.1977500915527344,10.250105619430542,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.6125102043151855,9.77359175682068,GComvGRU
STGCN,0.5,rand,4,12,linear,50,2.121682643890381,9.828562498092651,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.3443689346313477,10.077903985977173,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.706375002861023,9.989063024520874,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.209242582321167,11.440337896347046,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.4068782329559326,11.274220705032349,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.7598598003387451,11.83054256439209,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.5003540515899658,11.507964134216309,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.7661908864974976,11.451021909713743,GComvGRU
STGCN,0.0,,4,12,,50,1.149178385734558,10.110883712768556,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.7875326871871948,9.866493463516235,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6703659296035769,9.554149150848389,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.656164288520813,10.235055923461914,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.5357367992401123,10.61267590522766,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1706418991088867,11.7148699760437,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5211588144302368,11.364461183547974,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3938030004501345,11.521358728408812,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.5265733003616333,11.562240362167358,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.4552733898162842,11.814756870269775,GComvGRU
STGCN,0.0,,4,12,,50,1.0915499925613403,10.17927622795105,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.3252551555633545,10.383542537689207,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.7960416078567505,10.233500242233276,GComvGRU
STGCN,0.6,rand,4,12,linear,50,2.4580366611480717,10.241392612457275,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.422542929649353,9.633484601974487,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2467328310012815,11.123145818710327,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.4747685194015503,11.23496150970459,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.532502293586731,10.13084626197815,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.7263811826705933,9.128740549087524,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.897525787353516,9.006866931915283,GComvGRU
STGCN,0.0,,4,12,,50,1.3001257181167605,7.7631330490112305,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.4317790269851685,7.070593595504761,GComvGRU
STGCN,0.5,rand,4,12,linear,50,2.2565066814422607,7.219365119934082,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.6251660585403442,7.735929727554321,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.597809672355652,7.74373984336853,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1936441659927368,8.710633516311646,GComvGRU
