dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5353797674179075,5.810728549957275,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6782333850860596,5.575806140899658,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3569897413253784,6.274014234542847,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.4966073036193848,6.300364971160889,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.487662672996521,6.274720668792725,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.5282645225524902,6.302653551101685,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.70985746383667,7.620297193527222,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4204957485198977,7.132836580276489,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.3471131324768066,6.092706680297852,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.609592914581299,6.143775939941406,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.2827926874160769,6.599254846572876,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.5380945205688477,7.011144399642944,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.484086990356445,7.743566989898682,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.6900585889816284,7.64084267616272,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.5858166217803955,5.769219875335693,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.2065852880477903,6.891518592834473,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5758216381072998,7.003211975097656,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6790086030960083,7.009372711181641,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.1452032327651978,7.960141658782959,GConvGRU
