,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
3461,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0836567878723145,46.71737599372864,GConvLSTM
3462,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.130889892578125,77.53534436225891,GConvLSTM
3463,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1170647144317627,68.2078001499176,GConvLSTM
3464,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.163156270980835,54.62242555618286,GConvLSTM
3465,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1280977725982666,65.01313328742981,GConvLSTM
3466,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1745678186416626,77.57199048995972,GConvLSTM
3467,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1628503799438477,65.72017908096313,GConvLSTM
3468,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1209406852722168,38.36938810348511,GConvLSTM
3469,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1272830963134766,50.33903193473816,GConvLSTM
3470,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1489349603652954,82.16241335868835,GConvLSTM
3471,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1643221378326416,65.46531128883362,GConvLSTM
3472,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.098283052444458,49.57761001586914,GConvLSTM
3473,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0709271430969238,71.00374221801758,GConvLSTM
3474,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.12031888961792,75.18096208572388,GConvLSTM
3475,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.2122844457626345,63.339932680130005,GConvLSTM
3476,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1173932552337646,37.294198513031006,GConvLSTM
3477,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1372264623641968,56.369131565094,GConvLSTM
3478,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.19257915019989,82.25431776046753,GConvLSTM
3479,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1266872882843018,62.94926381111145,GConvLSTM
3480,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1004267930984497,45.22954773902893,GConvLSTM
3481,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.105725884437561,75.33037185668945,GConvLSTM
3482,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1354485750198364,73.31165266036987,GConvLSTM
3483,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0702162981033323,60.60825204849243,GConvLSTM
3484,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1104816198349,37.883418798446655,GConvLSTM
3485,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1007810831069946,63.06347632408142,GConvLSTM
3486,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.148460030555725,79.05031204223633,GConvLSTM
3487,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.2604860067367554,61.85816407203674,GConvLSTM
3488,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.141340732574463,41.784918785095215,GConvLSTM
3489,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.218189358711243,77.71647047996521,GConvLSTM
3490,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1027878522872925,72.77890729904175,GConvLSTM
3491,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1308140754699707,58.57273077964783,GConvLSTM
3492,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1154465675354004,37.60015201568604,GConvLSTM
3493,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.132720112800598,66.08712649345398,GConvLSTM
3494,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0725477933883667,77.01920914649963,GConvLSTM
3495,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.2334771156311035,65.91764974594116,GConvLSTM
3496,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1009420156478882,39.8676826953888,GConvLSTM
3497,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1413817405700684,81.45178532600403,GConvLSTM
3498,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.061928391456604,70.65139937400818,GConvLSTM
3499,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0753545761108398,54.60133719444275,GConvLSTM
3500,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0991835594177246,37.32587027549744,GConvLSTM
3501,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1107643842697144,72.85563945770264,GConvLSTM
3502,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0948426723480225,75.01728796958923,GConvLSTM
3503,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1304625272750854,63.288954734802246,GConvLSTM
3504,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0681205987930298,43.53103852272034,GConvLSTM
3505,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1350544691085815,79.76566219329834,GConvLSTM
3506,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1387063264846802,69.59862685203552,GConvLSTM
3507,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1142208576202393,53.84885597229004,GConvLSTM
3508,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1408658027648926,37.67773795127869,GConvLSTM
3509,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0972903966903689,76.58052706718445,GConvLSTM
3510,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.2394720315933228,72.9864411354065,GConvLSTM
3511,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1248520612716677,59.76701831817627,GConvLSTM
3512,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1020965576171875,38.04153823852539,GConvLSTM
3513,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1472103595733645,37.326857566833496,GConvLSTM
3514,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.116641402244568,34.621851205825806,GConvLSTM
3515,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.101080298423767,34.80970788002014,GConvLSTM
3516,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0780630111694336,51.842936754226685,GConvLSTM
3517,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0905582904815674,82.96766519546509,GConvLSTM
3518,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1650279760360718,65.24602365493774,GConvLSTM
3519,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.071424961090088,46.592283725738525,GConvLSTM
3520,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1259266138076782,37.53802990913391,GConvLSTM
3521,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1378730535507202,37.374979734420776,GConvLSTM
3522,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0903278589248655,34.950446367263794,GConvLSTM
3523,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0939704179763794,35.30688667297363,GConvLSTM
3524,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.139386534690857,72.18592929840088,GConvLSTM
3525,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.082656741142273,77.62556958198547,GConvLSTM
3526,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.163598895072937,62.59752893447876,GConvLSTM
3527,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1651774644851685,35.50402283668518,GConvLSTM
3528,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1632707118988037,37.39005661010742,GConvLSTM
3529,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1335378885269165,37.7854642868042,GConvLSTM
3530,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.213795185089111,35.29252314567566,GConvLSTM
3531,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.2639787197113037,35.3031644821167,GConvLSTM
3532,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1967735290527344,37.45449090003967,GConvLSTM
3533,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1490240097045898,37.31044363975525,GConvLSTM
3534,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.130020022392273,34.85157895088196,GConvLSTM
3535,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1225134134292605,35.327948570251465,GConvLSTM
3536,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.125135898590088,37.490652561187744,GConvLSTM
3537,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.122612714767456,37.54166793823242,GConvLSTM
3538,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.0979886054992676,34.91734027862549,GConvLSTM
3539,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1825854778289795,34.93239164352417,GConvLSTM
3540,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1189392805099487,37.63001298904419,GConvLSTM
3541,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1340205669403076,37.911648750305176,GConvLSTM
3542,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1044321060180664,35.29335141181946,GConvLSTM
3543,fivenodes,STGCN,0.0,,2,12.0,,50.0,1.1446934938430786,34.96285343170166,GConvLSTM
3544,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.1612569093704224,37.5563063621521,GConvLSTM
3545,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,1.0836336612701416,37.656641483306885,GConvLSTM
